	shannon_entropy
ERR3561496	5.610206669352041
ERR3561497	5.517388593452662
ERR3561498	4.812329662496941
ERR3561499	5.334620579639092
ERR3561500	5.608245032915237
ERR3561501	5.3094006340791005
ERR3561502	5.220586747153885
ERR3561503	5.608392523875058
ERR3561504	5.686452630674127
ERR3561505	5.631376189412847
ERR3561506	5.101524589874605
ERR3561507	5.337997119206519
ERR3561508	5.391762825878511
ERR3561509	5.702467773283642
ERR3561510	5.795176805652117
ERR3561511	5.301532184113005
ERR3561512	5.7777520670226
ERR3561513	5.722379800852862
ERR3561514	5.681001878551807
ERR3561515	5.595985049064134
ERR3561516	5.442168457804627
ERR3561517	5.688483661971168
ERR3561518	5.583552221558007
ERR3561519	5.433150395788522
ERR3561520	5.38174536038791
ERR3561521	5.5291297103641535
ERR3561522	4.704016093283502
ERR3561523	5.231668783297698
ERR3561524	4.1319587649665
ERR3561525	5.170874176136678
ERR3561526	4.854158783534625
ERR3561527	5.334555462587954
ERR3561528	5.604645545773829
ERR3561529	6.346490609973097
ERR3561530	5.276579301697286
ERR3561531	5.4028030998741
ERR3561532	5.607748754191442
ERR3561533	5.424613200643261
ERR3561534	5.558375823652164
ERR3561535	5.387628691027136
ERR3561536	5.843947121854084
ERR3561537	5.807730427223706
ERR3561538	5.491847213584597
ERR3561539	5.6672885743703745
ERR3561540	5.385364696158429
SRR12011790	4.930491193479674
SRR12011791	4.776582870835607
SRR12011792	4.964518755645887
SRR12011793	4.571519295736142
SRR12011794	4.887997624306556
SRR12011795	4.949413914432166
SRR12011796	4.506289908940495
SRR12011797	4.730736665679285
SRR12011798	4.35864800448037
SRR12011799	4.177512420194217
SRR12011800	4.281220102117351
SRR12011801	4.846616240393548
SRR12011802	5.304092617417337
SRR12011803	4.422094385998785
SRR12011804	5.441583881625597
SRR12011805	5.301622377282377
SRR12011806	4.774206043262038
SRR12011807	4.938628593881714
SRR12011808	5.197931989721727
SRR12011809	5.060138546198744
SRR12011810	5.138057917630518
SRR12011811	5.213109504568895
SRR12011812	4.977139870514052
SRR12011813	5.095218344480578
SRR12011814	4.9462244952719026
SRR12011815	5.2326554284865985
SRR12011816	3.900303206475549
SRR12011817	3.8125890058671668
SRR12011818	4.251388434385103
SRR12011819	4.935188338208828
SRR12011820	4.756964625643618
SRR12011821	4.163446644501001
SRR12011822	4.543059142395469
SRR12011823	4.957683519804744
SRR12011824	5.016092865418391
SRR12011825	4.279138437536166
SRR12011826	4.874631951842245
SRR12011827	4.495929002539858
SRR12011828	4.367920385570454
SRR12011829	4.297949364402452
SRR12011830	4.895998419636949
SRR12011831	4.679444152551697
SRR12011832	4.886011511118198
SRR12011833	4.69927986551583
SRR12011834	4.79346020491818
SRR12011835	4.565803748707876
SRR12011836	4.799764469897735
SRR12011837	4.415841396432113
SRR12011838	4.164395774124422
SRR12011839	4.782159893058646
SRR12011840	4.343904071872854
SRR12011841	4.956732355694927
SRR12011842	4.387413964550188
SRR12011843	4.809331473368196
SRR12011844	4.711503582148911
SRR12011845	4.945441940166875
SRR12011846	5.265345387972404
SRR12011847	4.230474339675029
SRR12011848	4.334571460424091
SRR12011849	4.7209442520267855
SRR12011850	4.371578888180606
SRR12011851	4.2478532443374295
SRR12011852	4.51305838786308
SRR12011853	4.731709530095975
SRR12011854	4.136395324199502
SRR12011855	4.711950197741474
SRR12011856	3.9223421243145467
SRR12011858	4.633117857297714
SRR12011859	4.5063797728142205
SRR12011860	4.070716722587382
SRR12011861	5.105277082009261
SRR12011862	4.248915726058755
SRR12011863	5.189496606514059
SRR12011864	5.6743609588003485
SRR12011865	5.05365175362686
SRR12011866	5.31659409701894
SRR12011867	4.964852656693072
SRR12011868	4.892072837455212
SRR12011869	4.520111851436673
SRR12011870	5.006092927609799
SRR12011871	4.820710372726215
SRR12011872	4.429799333537314
SRR12011873	4.1745024200513
SRR12011874	4.892612508003874
SRR12011875	4.349943506539125
SRR12011876	4.868752453923681
SRR12011877	5.1277230291440965
SRR12011878	5.24898899037177
SRR12011879	5.609201219158253
SRR12011880	5.0408586558281705
SRR12011881	5.052928147126298
SRR12011882	4.862331495546724
SRR12011883	5.004712060528482
SRR12011884	4.972374177612833
SRR12011885	5.166400968332328
SRR12011886	4.436361580696065
SRR12011887	5.014714742945485
SRR12011888	5.171007406614765
SRR12011889	5.224933724452043
SRR12011890	4.762246315352128
SRR12011891	5.172575022863032
SRR12011892	4.8577042966048545
SRR12011893	5.223707906046048
SRR12011894	4.587767461100997
SRR12011895	4.658646185846765
SRR12011896	4.851671792237807
SRR12011897	4.739318241078585
SRR12011898	4.843235246546313
SRR12011899	4.6421994251037155
SRR12011900	4.965874820847263
SRR12011901	5.067314261571905
SRR12011902	5.280051043784754
SRR12011903	4.93331850447209
SRR12011904	4.772510119124067
SRR12011905	5.351145008722593
SRR12011907	4.889400335400453
SRR12011908	5.297242457219436
SRR12011909	4.851649211044269
SRR12011910	4.625276568651178
SRR12011911	4.632499872523885
SRR12011912	4.641686144622965
SRR12011913	4.787857810131441
SRR12011914	4.82920242166811
SRR12011915	4.87934996975915
SRR12011916	4.668631479795504
SRR12011917	4.920824936989184
SRR12011918	4.9199589812085724
SRR12011919	5.153425783531397
SRR12011920	4.832771839187066
SRR12011921	4.503104720055268
SRR12011922	5.290725620327321
SRR12011923	5.002153950879324
SRR12011924	5.168100330622059
SRR12011925	5.288040088627394
SRR12011926	4.520580036752431
SRR12011927	4.5786067280973795
SRR12011928	5.43535373781221
SRR12011929	4.317395957110661
SRR12011930	4.364375153506328
SRR12088656	6.873730014135538
SRR12088657	7.384842981256021
SRR14300472	3.023993938874208
SRR14300473	2.9232617149182083
SRR14300474	2.799118379393149
SRR14300475	2.4114909223478196
SRR14300476	4.2207423756643925
SRR14300477	3.961125488579257
SRR14300478	4.201605781023554
SRR14300479	4.023719614525877
SRR14300480	3.0416545812872062
SRR14300481	4.71255389409648
SRR14300482	4.520249042157982
SRR14300483	3.0865911448829606
SRR14300484	4.482259150045008
SRR14300485	3.654935009992241
SRR14300486	1.5465411261253428
SRR14300487	4.335637537388455
SRR14300488	3.4190599323555086
SRR14300489	3.7559474566740962
SRR14300490	3.1727481059640468
SRR14300491	3.238848664268255
SRR14300492	1.2463463280896943
SRR14300493	3.167612982315735
SRR14300494	3.2511903980930694
SRR14300495	1.520630327565832
SRR14300497	1.495009352016825
SRR14300508	1.7827769223028611
SRR14300509	0.5880849730828142
SRR14300510	1.1000906222562759
SRR14300511	2.612656492317709
SRR14300519	3.4602140566385837
SRR14300530	3.527687031315931
SRR14300533	2.9636209996030707
SRR14300536	3.1181774800208757
SRR14300538	3.328448370224466
SRR14300549	0.7050991170474903
SRR14300557	3.7245222766201285
SRR14300558	1.8646515097351566
SRR14300563	1.4472492709186884
SRR14300564	3.9100280103668665
SRR14300566	2.1422090916315577
SRR14300568	3.5570959633408465
SRR14300569	3.7708912920274624
SRR14300570	4.420163309860164
SRR14300573	3.865706635614561
SRR14300575	2.395912117705935
SRR14300576	2.8500570583429687
SRR14300578	1.62983051395587
SRR14300579	3.730716060348644
SRR14300580	3.9790437947276724
SRR14300581	3.7609974502887553
SRR14300582	3.440759262710383
SRR14300584	2.1807560598842435
SRR14300586	2.9312419779173946
SRR14300587	1.511415102827063
SRR14300590	1.4702052407830895
SRR14300591	3.384898553700951
SRR14300600	2.511523091960186
SRR14300604	2.2227427453884845
SRR14300608	2.430298734750994
SRR14300610	2.6943777286437127
SRR14300612	2.5148815209897464
SRR14300614	4.3300290191756
SRR14300618	1.9132165733814597
SRR14300624	3.2104655735374323
SRR14300632	1.3520182893831039
SRR14300633	2.9332958451476663
SRR14300638	0.5515317356222768
SRR14300640	0.9382663404989571
SRR14300642	1.3611786115988478
SRR14300645	3.785977148741253
SRR14300646	2.740782039767355
SRR14300647	1.6372720396279346
SRR14300648	3.782467279455212
SRR14300649	0.3708719548290932
SRR14300650	1.7890342860851685
SRR14300651	1.0082147526957905
SRR14300652	3.1492911158435937
SRR14300653	2.4597481445950526
SRR14300656	-0.0
SRR14300658	2.532549380582598
SRR14300659	2.079626550402582
SRR14300660	2.5137725098722963
SRR14300661	2.200973004792167
SRR14300663	2.8995197077855113
SRR14300665	2.842292743735726
SRR14300667	2.0836453193449698
SRR14300670	2.117052168670704
SRR14300671	2.60467235975632
SRR14300672	1.4498577615414747
SRR14300673	1.858920437664351
SRR14300674	4.766046458895097
SRR14300675	1.2850387951130309
SRR14300676	3.4955690467652096
SRR14300677	4.7261899737000315
SRR14300678	3.4329475631849946
SRR14300679	4.002566497353842
SRR14300680	2.1592562150690737
SRR14300684	1.6987185463476708
SRR14300685	2.879074635445554
SRR14300687	4.24684516316736
SRR14300689	1.1284903973570428
SRR14300690	1.1737117595813906
SRR14300692	0.5847644524278529
SRR14300696	0.4240806542337004
SRR14300697	1.204056880936463
SRR14300698	1.8570341572674045
SRR14300701	1.6439257834001924
SRR14300705	3.185263528083659
SRR14300706	2.103596198107756
SRR14300715	0.970164853098624
SRR14300716	0.7565274692518928
SRR14300718	3.9518892727505364
SRR14300722	0.695868849849203
SRR14300724	2.739573741507677
SRR14300725	3.3135423129911814
SRR14300726	3.240078684081326
SRR14300727	3.944333541621364
SRR14300728	3.8807700216458456
SRR14300729	3.871628039625068
SRR14300730	1.4234663378503107
SRR14300731	4.088704843973798
SRR14300732	2.80336764234926
SRR14300733	4.581432453198349
SRR14300736	3.114174242486284
SRR14300737	2.9150630451934645
SRR14300738	3.4102258219840613
SRR14300739	3.3049047296987406
SRR14300740	3.2281002658662903
SRR14300742	3.032025048023003
SRR14300744	2.8409345266422763
SRR14300747	2.9243418989782213
SRR14300750	2.7471644449999486
SRR14300757	2.8673591633856197
SRR14300759	2.46185142804374
SRR14300760	3.839214881543948
SRR14300764	1.3100586266635867
SRR14300772	4.595544731496045
SRR14300773	3.7002026228234737
SRR14300775	1.4921227788359115
SRR14300777	2.6800580958852067
SRR14300778	2.659642029269917
SRR14300779	4.24487188886961
SRR14300780	3.13356140296032
SRR14300781	3.536827627670993
SRR14300782	3.070873055976075
SRR14300783	3.985281260797709
SRR14300784	3.334873290476902
SRR14300785	3.7560754708388644
SRR14300786	1.4006340500378225
SRR14300787	3.9032560039673876
SRR14300790	3.5586297436078667
SRR14300791	2.8241917536107364
SRR14300794	2.740934192425108
SRR14300795	2.110649055020062
SRR14300796	3.231374715928782
SRR14300797	1.7130284617089397
SRR14300798	3.227186649414168
SRR14300800	2.6019886491771844
SRR14300801	3.2399934760765357
SRR14300816	2.9380156186408874
SRR14300817	2.5228403081342146
SRR14300822	2.724903493298006
SRR14300823	3.290594497951497
SRR14300824	3.5643780503394127
SRR14300825	2.4431107140957975
SRR14300826	3.8257154637115134
SRR14300827	1.6885657247908683
SRR14300828	1.8729789493856424
SRR14300829	3.6945167918438693
SRR14300830	4.517345995042026
SRR14300832	2.5284532420449373
SRR14300834	3.070370757633397
SRR14300835	3.2882476906145226
SRR14300836	1.889803119538624
SRR14300837	3.1302463642425424
SRR14300838	2.9845283071398825
SRR14300839	3.7475534050925052
SRR14300840	2.478209192186505
SRR14300841	2.3684884882275745
SRR14300842	2.9783538137293126
SRR14300844	1.592372550308458
SRR14300845	4.1981099866787845
SRR14300848	3.2474395322574634
SRR14300849	3.027986955429253
SRR14300850	3.6185608188755274
SRR14300851	2.293081858359192
SRR14300852	2.0767537779340475
SRR14300853	3.7797174760835928
SRR14300854	3.2474458443817564
SRR14300855	2.708555604990176
SRR14300856	2.0446358902307074
SRR14300857	3.5727724545953636
SRR14300858	4.3052327983016925
SRR14300859	4.603930453202586
SRR14300860	4.674266958260913
SRR14300861	4.224724557877908
SRR14300862	3.9170440254392784
SRR1951459	6.7005880739966495
SRR1951460	6.418830888711445
SRR1951462	6.486334906336179
SRR1951463	6.179629461075012
SRR2046299	3.806516569761509
SRR21103440	7.105677438747854
SRR21103441	7.42092669527744
SRR21103442	7.013466046971532
SRR21103443	6.2610849801671495
SRR21103444	6.579619273591402
SRR21103445	7.34551539348163
SRR21103446	6.520559998382704
SRR21103447	6.639147622287103
SRR21103448	6.69367046525479
SRR21103449	6.4680109533217385
SRR21103450	6.432567285564968
SRR21103451	6.150061758752556
SRR21103452	6.51047006328106
SRR21103453	6.5011668015825
SRR21103454	6.438992292843467
SRR21103455	6.673385075273874
SRR21103456	7.205891484929716
SRR21103457	6.55977731999008
SRR21103458	6.719671056941019
SRR21103459	6.345331465665067
SRR21103460	6.936273898673791
SRR21103461	6.774008992312927
SRR21103462	6.69404345948065
SRR21103463	6.627077147109741
SRR21103464	6.537195305399106
SRR21103465	6.912758180679187
SRR21103466	6.8041041899347405
SRR21103467	7.1291564033692385
SRR21103468	7.197745527934741
SRR21103469	6.827867411459236
SRR21103470	6.71997226524226
SRR21103471	6.753313331642386
SRR21103472	6.764890328675035
SRR21103473	6.498174076365594
SRR21103474	6.7132353565899185
SRR21103475	6.640706662445008
SRR21103476	6.59571280698947
SRR21103477	6.633888313156965
SRR21103478	7.363245504281279
SRR21103479	6.952914851431309
SRR21103480	6.5715886776627555
SRR21103481	6.725807234940259
SRR21103482	6.835687391891312
SRR21103483	6.649555773890857
SRR21103484	6.760328603606981
SRR21103485	6.736712468311285
SRR21103486	6.956386453315459
SRR21103487	6.809926570683904
SRR21103488	6.84763443421003
SRR21103489	7.179945504161488
SRR21103490	6.854418275911158
SRR21103491	6.436722686453014
SRR21103492	6.765461572860541
SRR21103493	6.536839381783481
SRR21103494	6.5416448172059525
SRR21103495	6.8705060241384155
SRR21103496	6.862935988631808
SRR21103497	6.9038257237849425
SRR21103498	7.062050611936359
SRR21103499	7.17598176198582
SRR21103500	7.14542742474216
SRR21103501	7.144764137490034
SRR21283102	2.7978823841696987
SRR21283103	1.4293453184069271
SRR21283104	3.9397275698366228
SRR21283107	2.1830130546414654
SRR21283112	3.794906111844043
SRR21283115	2.0015054517220534
SRR21283121	0.5068663750572424
SRR21283122	4.070171183398207
SRR21465144	6.819650477206227
SRR21465145	6.674811624944426
SRR21465146	6.394559475269266
SRR21465147	6.754915275765565
SRR21465148	6.789735762225291
SRR21465149	6.70327226997948
SRR23782922	7.90319187216529
SRR23782923	7.529252218086568
SRR23782924	7.602699947597369
SRR5808316	4.375126118765338
SRR5808317	4.279422693586534
SRR5808318	5.179280970995973
SRR5808319	4.313060930724914
SRR5808320	4.412265125963825
SRR5808321	5.840748016089264
SRR5808322	4.404570071200102
SRR5808323	3.4785938669568015
SRR5808324	4.774778863638889
SRR5808325	4.507514335233557
SRR5808326	5.854542310368989
SRR5808327	6.285495239054446
SRR5808328	5.124511080358605
SRR5808329	6.1570428017525485
SRR5808330	5.398684429480061
SRR5808331	6.010532343192089
SRR5808332	4.734811090980356
SRR5808333	4.626001426231055
SRR5808334	5.830896696600434
SRR5808335	5.3061869762627945
SRR5808336	4.124828171055917
SRR5808337	4.44097218327769
SRR5808338	3.4906882467189417
SRR5808339	4.146717403420733
SRR5808340	4.639473352984456
SRR5808341	4.575837932122477
SRR5808342	5.529524927490641
SRR5808343	5.6330360969307005
SRR5808344	3.392032122664307
SRR5808345	4.737641231927316
SRR5808346	6.15788415591568
SRR5808347	5.744474042723011
SRR5808348	4.8801924109530255
SRR5808349	4.234411893374337
SRR5808350	5.4257757884739295
SRR5808351	5.4043638402425485
SRR5808352	5.456627434822757
SRR5808353	5.645667420590117
SRR5808354	4.449818219352535
SRR5808355	3.9640236119144365
SRR5808356	6.059176921569724
SRR5808357	6.25592287251911
SRR5808358	5.365778167934503
SRR5808359	6.067216755623437
SRR5808360	4.995276012542543
SRR5808361	6.089248930260094
SRR5808362	4.146375387629769
SRR5808363	6.029109398203715
SRR5808364	5.1039135322432045
SRR5808365	4.515356569242726
SRR5808366	4.271390132635473
SRR5808367	3.262045253050036
SRR5808368	4.680064211912082
SRR5808369	4.815475967836521
SRR5808370	5.490168222022154
SRR5808371	4.07810352723359
SRR5808373	6.176167364642339
SRR5808374	4.589458879085275
SRR5808375	4.40553937097649
SRR5808376	5.145196494959123
SRR5808377	5.455946527466441
SRR5808378	4.038543792724088
SRR5808379	5.414761482816675
SRR5808380	5.106523219238677
SRR5808381	6.2798636659764275
SRR5808382	4.929871984634804
SRR5808383	5.889842657055255
SRR5808384	5.016769987759394
SRR5808385	5.151879022415064
SRR5808386	5.286818674638472
SRR5808387	5.272934371808927
SRR5808388	4.41152586758295
SRR5808389	5.434498873716195
SRR5808390	3.6184269235226503
SRR5808391	4.9985378037097785
SRR5808392	3.650302195452234
SRR5808393	5.242883646737638
SRR5808394	4.805411356924602
SRR5808395	5.911886117283729
SRR5808396	5.064815991223795
SRR5808397	4.9169907175560565
SRR5808398	5.073166424453418
SRR5808399	5.189595503552561
SRR5808400	4.99494957241
SRR5808401	3.809787990685942
SRR5808402	4.638635649628142
SRR5808403	4.564618216773701
SRR5808404	5.069671262335006
SRR5808405	4.811709212095678
SRR5808406	4.528106737949194
SRR5808407	4.7582262303301395
SRR5808408	4.6944323959443945
SRR5808409	4.208783104071553
SRR5808410	5.170924484400133
SRR5808411	3.7191898953254303
SRR5808412	4.2877950171048145
SRR5808413	4.2848923513431885
SRR5808414	4.366487077055774
SRR5808415	4.457909067614008
SRR5808416	5.11150779762369
SRR5808417	5.568249692906113
SRR5808418	4.44330146191348
SRR5808419	4.332521612108841
SRR5808420	5.290431366998392
SRR5808421	4.194269519884497
SRR5808422	5.630941285228711
SRR5808423	4.155534019770966
SRR5808424	5.470348582148421
SRR5808425	3.9676229751889465
SRR5808426	5.114886585548447
SRR5808427	5.8328701499939895
SRR5808428	5.421842464031844
SRR5808429	5.122594195899105
SRR6173195	4.867830259452326
SRR6173196	5.427818042905645
SRR6173197	4.316949724224815
SRR6173198	5.458456612178542
SRR6173199	5.3923839848273705
SRR6173200	4.320108017761477
SRR6173201	6.132998597708342
SRR6173202	6.247575813778271
SRR6173203	5.829310421586853
SRR6173204	5.187669650690627
SRR6173205	5.565755515548848
SRR6173206	5.195940487135692
SRR6173207	6.345515692503193
SRR6173208	5.588040171171092
SRR6173209	5.13540361958005
SRR6173210	4.891913017424565
SRR6173211	5.4233938977722564
SRR6173212	5.309552717957939
SRR6173213	5.887369908184319
SRR6173214	5.580587479129484
SRR6173215	5.415330411609708
SRR6173216	5.626534541320455
SRR6173217	6.197251864467709
SRR6173218	5.2489414396600615
SRR6173219	6.082510980166823
SRR6173220	5.248551899289246
SRR6173221	5.76081267994931
SRR6173222	6.3141776165909755
SRR6173223	4.992496683767524
SRR6173224	4.116097999554887
SRR6173225	4.8536147802749126
SRR6173226	5.292426140038085
SRR6173227	3.6060737463850216
SRR6173228	4.902558791971352
SRR6173229	4.354414706035444
SRR6173230	5.75880917347308
SRR6173231	5.576814483463879
SRR6173232	4.402986189452109
SRR6173233	5.684327463111548
SRR6173234	6.605398438103689
SRR6173235	4.150838946494649
SRR6173236	5.96011473637
SRR6173237	5.025707549616743
SRR6173238	5.467905851166976
SRR6173239	5.2736073323345
SRR6173240	4.491288028727443
SRR6173241	5.197889742129023
SRR6173242	4.840072197771737
SRR6173243	4.776795193627941
SRR6173244	5.2299136808124524
SRR6173245	5.347014403199043
SRR6173246	5.523560670958353
SRR6173247	5.5199134797282206
SRR6173248	5.293263710544777
SRR6173249	5.424781440199509
SRR6173250	5.496462823975754
SRR6173251	4.840690892965399
SRR7268535	5.3119067852788175
SRR7268537	5.045520625015031
SRR7268539	5.42748360673324
SRR7268541	4.786568638845798
SRR7268543	5.367450333897431
SRR7268544	4.8692432438681585
SRR7268546	5.074123464833751
SRR7268549	5.010186881654847
SRR7268551	4.929141873999998
SRR7268553	4.822489398670867
SRR7268555	4.994794397213409
SRR7268557	5.030889048949757
SRR8450533	4.4535239581966986
SRR8450534	5.123345075474032
SRR8450536	5.1272306625602795
SRR8450538	5.390950818229345
SRR8450540	5.6038176641532145
SRR8450542	5.15835550056593
SRR8450544	4.847307263512715
SRR8450546	4.822974816183696
SRR8450548	5.111375346959673
SRR8450550	5.107490021734884
SRR8450552	5.057101673093067
SRR8450554	4.818042580547985
SRR8450556	5.578522054538196
SRR8450557	5.4876825746919735
SRR8450559	5.780987821168974
SRR8450561	5.21508128272493
SRR8450563	5.391345075882027
SRR8450565	5.576056295858529
SRR8450567	4.678819755541514
SRR8450569	5.133953251416049
SRR8450571	4.959991012516049
SRR8450572	4.864525798401307
SRR8450573	5.390776662893064
SRR8450575	5.484362260187348
SRR8450577	5.531909866473737
SRR8450579	5.381356647316206
SRR8450581	5.556462018468976
SRR8450583	5.221797564615782
SRR8450585	4.783613468671872
SRR8450587	4.421713892027588
SRR8450589	4.631033491807631
SRR8450591	5.249485829317687
SRR16072445	5.391002034581517
SRR16072446	4.075137961427828
SRR16072447	0.9126989240117908
SRR16072448	1.1272848472074117
SRR16072449	1.1559000621896391
SRR16072450	2.177863247432704
SRR16072451	0.30247715427974414
SRR16072452	2.3624925170575364
SRR16072453	3.2026306780501654
SRR16072454	2.8877363933345364
SRR16072455	2.465770813563237
SRR16072456	2.0473151014432047
SRR16072457	1.5403065896990027
SRR16072458	1.6100619622692913
SRR16072459	1.205611356127024
SRR16072460	1.208248284826308
SRR16072461	0.3600027661116706
SRR16072462	3.9548557496953545
SRR16072463	3.8057645433312906
SRR16072464	3.8124190708500234
SRR16072465	3.249289042266623
SRR16072466	3.545178142343656
SRR16072467	3.278763752075929
SRR16072468	3.2805653001334463
SRR16072469	3.25397379326807
SRR16072470	2.672750099045096
SRR16072471	1.6881987934574645
SRR16072472	0.2990828366462568
SRR16072473	0.36153647213909107
SRR2158275	7.5647861936356735
SRR3218648	7.442716656144531
SRR3218660	6.681866955272035
SRR3218672	7.525494539906183
SRR3218686	5.836559223960394
SRR3218700	7.029724561802528
SRR3218709	6.35371028948266
SRR3218710	5.458331484565376
SRR3218711	4.917827594849829
SRR3218713	4.931249299433755
SRR3218761	3.53293555764367
SRR3218777	4.7545810296415505
SRR3218792	4.061992810859012
SRR3968782	6.050490128242257
SRR3968783	6.5982965794141615
SRR3968784	5.438926967983729
SRR3968785	4.9595963004187755
SRR3968786	6.530138088659584
SRR3968787	6.460435248395206
SRR3968788	5.700740522310059
SRR3968789	5.562128869848796
SRR3968790	6.145001050286446
SRR3968791	6.48338640875574
SRR3968792	5.692608772667491
SRR3968793	5.409841716335291
SRR6301241	7.882039407586594
SRR6301244	6.764453898594279
SRR6301246	6.3240017898382535
SRR7698539	6.609024069867135
